ID,RootVolume,Genotype,Stage,FolderName,PlantNumber,ImagePaths_L,ImagePaths_R,Layers_L,Layers_R
ID_252955_Sbkenf,1.9,IBA980581,Early,Tbhppxjkvr,6,"['/Users/yuvenblowria/MLPR/data/Tbhppxjkvr/Tbhppxjkvr_L_022.png', '/Users/yuvenblowria/MLPR/data/Tbhppxjkvr/Tbhppxjkvr_L_023.png', '/Users/yuvenblowria/MLPR/data/Tbhppxjkvr/Tbhppxjkvr_L_024.png', '/Users/yuvenblowria/MLPR/data/Tbhppxjkvr/Tbhppxjkvr_L_025.png', '/Users/yuvenblowria/MLPR/data/Tbhppxjkvr/Tbhppxjkvr_L_026.png', '/Users/yuvenblowria/MLPR/data/Tbhppxjkvr/Tbhppxjkvr_L_027.png', '/Users/yuvenblowria/MLPR/data/Tbhppxjkvr/Tbhppxjkvr_L_028.png', '/Users/yuvenblowria/MLPR/data/Tbhppxjkvr/Tbhppxjkvr_L_029.png', '/Users/yuvenblowria/MLPR/data/Tbhppxjkvr/Tbhppxjkvr_L_030.png', '/Users/yuvenblowria/MLPR/data/Tbhppxjkvr/Tbhppxjkvr_L_031.png']",[],"[22, 23, 24, 25, 26, 27, 28, 29, 30, 31]",[]
ID_258788_Bsotub,2.2,IBA154810,Early,Xrrcqvdbkw,6,[],"['/Users/yuvenblowria/MLPR/data/Xrrcqvdbkw/Xrrcqvdbkw_R_027.png', '/Users/yuvenblowria/MLPR/data/Xrrcqvdbkw/Xrrcqvdbkw_R_028.png', '/Users/yuvenblowria/MLPR/data/Xrrcqvdbkw/Xrrcqvdbkw_R_029.png', '/Users/yuvenblowria/MLPR/data/Xrrcqvdbkw/Xrrcqvdbkw_R_030.png', '/Users/yuvenblowria/MLPR/data/Xrrcqvdbkw/Xrrcqvdbkw_R_031.png', '/Users/yuvenblowria/MLPR/data/Xrrcqvdbkw/Xrrcqvdbkw_R_032.png', '/Users/yuvenblowria/MLPR/data/Xrrcqvdbkw/Xrrcqvdbkw_R_033.png', '/Users/yuvenblowria/MLPR/data/Xrrcqvdbkw/Xrrcqvdbkw_R_034.png', '/Users/yuvenblowria/MLPR/data/Xrrcqvdbkw/Xrrcqvdbkw_R_035.png', '/Users/yuvenblowria/MLPR/data/Xrrcqvdbkw/Xrrcqvdbkw_R_036.png']",[],"[27, 28, 29, 30, 31, 32, 33, 34, 35, 36]"
ID_260205_Ehppmv,4.5,IITA-TMS-IBA000070,Early,Qhqftdiz4q,4,[],"['/Users/yuvenblowria/MLPR/data/Qhqftdiz4q/Qhqftdiz4q_R_049.png', '/Users/yuvenblowria/MLPR/data/Qhqftdiz4q/Qhqftdiz4q_R_050.png', '/Users/yuvenblowria/MLPR/data/Qhqftdiz4q/Qhqftdiz4q_R_051.png', '/Users/yuvenblowria/MLPR/data/Qhqftdiz4q/Qhqftdiz4q_R_052.png', '/Users/yuvenblowria/MLPR/data/Qhqftdiz4q/Qhqftdiz4q_R_053.png', '/Users/yuvenblowria/MLPR/data/Qhqftdiz4q/Qhqftdiz4q_R_054.png', '/Users/yuvenblowria/MLPR/data/Qhqftdiz4q/Qhqftdiz4q_R_055.png', '/Users/yuvenblowria/MLPR/data/Qhqftdiz4q/Qhqftdiz4q_R_056.png', '/Users/yuvenblowria/MLPR/data/Qhqftdiz4q/Qhqftdiz4q_R_057.png', '/Users/yuvenblowria/MLPR/data/Qhqftdiz4q/Qhqftdiz4q_R_058.png', '/Users/yuvenblowria/MLPR/data/Qhqftdiz4q/Qhqftdiz4q_R_059.png', '/Users/yuvenblowria/MLPR/data/Qhqftdiz4q/Qhqftdiz4q_R_060.png']",[],"[49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60]"
ID_260420_Q52c06,2.1,IBA980581,Early,Ummqfuetoc,3,[],"['/Users/yuvenblowria/MLPR/data/Ummqfuetoc/Ummqfuetoc_R_017.png', '/Users/yuvenblowria/MLPR/data/Ummqfuetoc/Ummqfuetoc_R_018.png', '/Users/yuvenblowria/MLPR/data/Ummqfuetoc/Ummqfuetoc_R_019.png', '/Users/yuvenblowria/MLPR/data/Ummqfuetoc/Ummqfuetoc_R_020.png', '/Users/yuvenblowria/MLPR/data/Ummqfuetoc/Ummqfuetoc_R_021.png', '/Users/yuvenblowria/MLPR/data/Ummqfuetoc/Ummqfuetoc_R_022.png', '/Users/yuvenblowria/MLPR/data/Ummqfuetoc/Ummqfuetoc_R_023.png', '/Users/yuvenblowria/MLPR/data/Ummqfuetoc/Ummqfuetoc_R_024.png', '/Users/yuvenblowria/MLPR/data/Ummqfuetoc/Ummqfuetoc_R_025.png', '/Users/yuvenblowria/MLPR/data/Ummqfuetoc/Ummqfuetoc_R_026.png']",[],"[17, 18, 19, 20, 21, 22, 23, 24, 25, 26]"
ID_260577_Zumui0,3.0,IBA154810,Early,Rzyf8hal4j,5,[],"['/Users/yuvenblowria/MLPR/data/Rzyf8hal4j/Rzyf8hal4j_R_038.png', '/Users/yuvenblowria/MLPR/data/Rzyf8hal4j/Rzyf8hal4j_R_039.png', '/Users/yuvenblowria/MLPR/data/Rzyf8hal4j/Rzyf8hal4j_R_040.png', '/Users/yuvenblowria/MLPR/data/Rzyf8hal4j/Rzyf8hal4j_R_041.png', '/Users/yuvenblowria/MLPR/data/Rzyf8hal4j/Rzyf8hal4j_R_042.png', '/Users/yuvenblowria/MLPR/data/Rzyf8hal4j/Rzyf8hal4j_R_043.png', '/Users/yuvenblowria/MLPR/data/Rzyf8hal4j/Rzyf8hal4j_R_044.png', '/Users/yuvenblowria/MLPR/data/Rzyf8hal4j/Rzyf8hal4j_R_045.png', '/Users/yuvenblowria/MLPR/data/Rzyf8hal4j/Rzyf8hal4j_R_046.png', '/Users/yuvenblowria/MLPR/data/Rzyf8hal4j/Rzyf8hal4j_R_047.png']",[],"[38, 39, 40, 41, 42, 43, 44, 45, 46, 47]"
ID_261694_Oa4ssj,2.3,TMEB419,Late,Td901zykbu,3,"['/Users/yuvenblowria/MLPR/data/Td901zykbu/Td901zykbu_L_008.png', '/Users/yuvenblowria/MLPR/data/Td901zykbu/Td901zykbu_L_009.png', '/Users/yuvenblowria/MLPR/data/Td901zykbu/Td901zykbu_L_010.png', '/Users/yuvenblowria/MLPR/data/Td901zykbu/Td901zykbu_L_011.png', '/Users/yuvenblowria/MLPR/data/Td901zykbu/Td901zykbu_L_012.png', '/Users/yuvenblowria/MLPR/data/Td901zykbu/Td901zykbu_L_013.png', '/Users/yuvenblowria/MLPR/data/Td901zykbu/Td901zykbu_L_014.png']",[],"[8, 9, 10, 11, 12, 13, 14]",[]
ID_262580_W6oitf,0.3,TMEB419,Early,H9lomh5fxk,5,"['/Users/yuvenblowria/MLPR/data/H9lomh5fxk/H9lomh5fxk_L_040.png', '/Users/yuvenblowria/MLPR/data/H9lomh5fxk/H9lomh5fxk_L_041.png', '/Users/yuvenblowria/MLPR/data/H9lomh5fxk/H9lomh5fxk_L_042.png', '/Users/yuvenblowria/MLPR/data/H9lomh5fxk/H9lomh5fxk_L_043.png', '/Users/yuvenblowria/MLPR/data/H9lomh5fxk/H9lomh5fxk_L_044.png', '/Users/yuvenblowria/MLPR/data/H9lomh5fxk/H9lomh5fxk_L_045.png', '/Users/yuvenblowria/MLPR/data/H9lomh5fxk/H9lomh5fxk_L_046.png', '/Users/yuvenblowria/MLPR/data/H9lomh5fxk/H9lomh5fxk_L_047.png', '/Users/yuvenblowria/MLPR/data/H9lomh5fxk/H9lomh5fxk_L_048.png', '/Users/yuvenblowria/MLPR/data/H9lomh5fxk/H9lomh5fxk_L_049.png', '/Users/yuvenblowria/MLPR/data/H9lomh5fxk/H9lomh5fxk_L_050.png']",[],"[40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50]",[]
ID_264213_Cgtotk,2.2,IITA-TMS-IBA000070,Early,L8w7zu7wek,6,"['/Users/yuvenblowria/MLPR/data/L8w7zu7wek/L8w7zu7wek_L_033.png', '/Users/yuvenblowria/MLPR/data/L8w7zu7wek/L8w7zu7wek_L_034.png', '/Users/yuvenblowria/MLPR/data/L8w7zu7wek/L8w7zu7wek_L_035.png', '/Users/yuvenblowria/MLPR/data/L8w7zu7wek/L8w7zu7wek_L_036.png', '/Users/yuvenblowria/MLPR/data/L8w7zu7wek/L8w7zu7wek_L_037.png', '/Users/yuvenblowria/MLPR/data/L8w7zu7wek/L8w7zu7wek_L_038.png', '/Users/yuvenblowria/MLPR/data/L8w7zu7wek/L8w7zu7wek_L_039.png', '/Users/yuvenblowria/MLPR/data/L8w7zu7wek/L8w7zu7wek_L_040.png', '/Users/yuvenblowria/MLPR/data/L8w7zu7wek/L8w7zu7wek_L_041.png', '/Users/yuvenblowria/MLPR/data/L8w7zu7wek/L8w7zu7wek_L_042.png', '/Users/yuvenblowria/MLPR/data/L8w7zu7wek/L8w7zu7wek_L_043.png', '/Users/yuvenblowria/MLPR/data/L8w7zu7wek/L8w7zu7wek_L_044.png', '/Users/yuvenblowria/MLPR/data/L8w7zu7wek/L8w7zu7wek_L_045.png', '/Users/yuvenblowria/MLPR/data/L8w7zu7wek/L8w7zu7wek_L_046.png', '/Users/yuvenblowria/MLPR/data/L8w7zu7wek/L8w7zu7wek_L_047.png', '/Users/yuvenblowria/MLPR/data/L8w7zu7wek/L8w7zu7wek_L_048.png', '/Users/yuvenblowria/MLPR/data/L8w7zu7wek/L8w7zu7wek_L_049.png', '/Users/yuvenblowria/MLPR/data/L8w7zu7wek/L8w7zu7wek_L_050.png', '/Users/yuvenblowria/MLPR/data/L8w7zu7wek/L8w7zu7wek_L_051.png']",[],"[33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51]",[]
ID_269437_Dxgg4n,2.5,TMEB419,Early,Dz9lpsl9ae,5,[],"['/Users/yuvenblowria/MLPR/data/Dz9lpsl9ae/Dz9lpsl9ae_R_045.png', '/Users/yuvenblowria/MLPR/data/Dz9lpsl9ae/Dz9lpsl9ae_R_046.png', '/Users/yuvenblowria/MLPR/data/Dz9lpsl9ae/Dz9lpsl9ae_R_047.png', '/Users/yuvenblowria/MLPR/data/Dz9lpsl9ae/Dz9lpsl9ae_R_048.png', '/Users/yuvenblowria/MLPR/data/Dz9lpsl9ae/Dz9lpsl9ae_R_049.png', '/Users/yuvenblowria/MLPR/data/Dz9lpsl9ae/Dz9lpsl9ae_R_050.png']",[],"[45, 46, 47, 48, 49, 50]"
ID_271070_Fsmcir,3.1,IITA-TMS-IBA000070,Early,Hc3b9gicdo,3,[],"['/Users/yuvenblowria/MLPR/data/Hc3b9gicdo/Hc3b9gicdo_R_029.png', '/Users/yuvenblowria/MLPR/data/Hc3b9gicdo/Hc3b9gicdo_R_030.png', '/Users/yuvenblowria/MLPR/data/Hc3b9gicdo/Hc3b9gicdo_R_031.png', '/Users/yuvenblowria/MLPR/data/Hc3b9gicdo/Hc3b9gicdo_R_032.png', '/Users/yuvenblowria/MLPR/data/Hc3b9gicdo/Hc3b9gicdo_R_033.png', '/Users/yuvenblowria/MLPR/data/Hc3b9gicdo/Hc3b9gicdo_R_034.png', '/Users/yuvenblowria/MLPR/data/Hc3b9gicdo/Hc3b9gicdo_R_035.png', '/Users/yuvenblowria/MLPR/data/Hc3b9gicdo/Hc3b9gicdo_R_036.png', '/Users/yuvenblowria/MLPR/data/Hc3b9gicdo/Hc3b9gicdo_R_037.png', '/Users/yuvenblowria/MLPR/data/Hc3b9gicdo/Hc3b9gicdo_R_038.png']",[],"[29, 30, 31, 32, 33, 34, 35, 36, 37, 38]"
ID_273699_Sfshmj,0.2,TMEB693,Early,Bs8ueatyis,5,"['/Users/yuvenblowria/MLPR/data/Bs8ueatyis/Bs8ueatyis_L_033.png', '/Users/yuvenblowria/MLPR/data/Bs8ueatyis/Bs8ueatyis_L_034.png', '/Users/yuvenblowria/MLPR/data/Bs8ueatyis/Bs8ueatyis_L_035.png', '/Users/yuvenblowria/MLPR/data/Bs8ueatyis/Bs8ueatyis_L_036.png', '/Users/yuvenblowria/MLPR/data/Bs8ueatyis/Bs8ueatyis_L_037.png', '/Users/yuvenblowria/MLPR/data/Bs8ueatyis/Bs8ueatyis_L_038.png', '/Users/yuvenblowria/MLPR/data/Bs8ueatyis/Bs8ueatyis_L_039.png', '/Users/yuvenblowria/MLPR/data/Bs8ueatyis/Bs8ueatyis_L_040.png', '/Users/yuvenblowria/MLPR/data/Bs8ueatyis/Bs8ueatyis_L_041.png', '/Users/yuvenblowria/MLPR/data/Bs8ueatyis/Bs8ueatyis_L_042.png']",[],"[33, 34, 35, 36, 37, 38, 39, 40, 41, 42]",[]
ID_276142_T0pxsx,0.8,IBA154810,Early,Vlqr6qhbqk,4,[],"['/Users/yuvenblowria/MLPR/data/Vlqr6qhbqk/Vlqr6qhbqk_R_032.png', '/Users/yuvenblowria/MLPR/data/Vlqr6qhbqk/Vlqr6qhbqk_R_033.png', '/Users/yuvenblowria/MLPR/data/Vlqr6qhbqk/Vlqr6qhbqk_R_034.png', '/Users/yuvenblowria/MLPR/data/Vlqr6qhbqk/Vlqr6qhbqk_R_035.png', '/Users/yuvenblowria/MLPR/data/Vlqr6qhbqk/Vlqr6qhbqk_R_036.png', '/Users/yuvenblowria/MLPR/data/Vlqr6qhbqk/Vlqr6qhbqk_R_037.png', '/Users/yuvenblowria/MLPR/data/Vlqr6qhbqk/Vlqr6qhbqk_R_038.png', '/Users/yuvenblowria/MLPR/data/Vlqr6qhbqk/Vlqr6qhbqk_R_039.png', '/Users/yuvenblowria/MLPR/data/Vlqr6qhbqk/Vlqr6qhbqk_R_040.png']",[],"[32, 33, 34, 35, 36, 37, 38, 39, 40]"
ID_279168_I3ptav,1.4,IBA154810,Early,Hzapvbcfm8,4,[],"['/Users/yuvenblowria/MLPR/data/Hzapvbcfm8/Hzapvbcfm8_R_024.png', '/Users/yuvenblowria/MLPR/data/Hzapvbcfm8/Hzapvbcfm8_R_025.png', '/Users/yuvenblowria/MLPR/data/Hzapvbcfm8/Hzapvbcfm8_R_026.png', '/Users/yuvenblowria/MLPR/data/Hzapvbcfm8/Hzapvbcfm8_R_027.png', '/Users/yuvenblowria/MLPR/data/Hzapvbcfm8/Hzapvbcfm8_R_028.png', '/Users/yuvenblowria/MLPR/data/Hzapvbcfm8/Hzapvbcfm8_R_029.png', '/Users/yuvenblowria/MLPR/data/Hzapvbcfm8/Hzapvbcfm8_R_030.png']",[],"[24, 25, 26, 27, 28, 29, 30]"
ID_287267_Egezfb,2.1,TMEB419,Early,S6lk1xauct,4,[],"['/Users/yuvenblowria/MLPR/data/S6lk1xauct/S6lk1xauct_R_024.png', '/Users/yuvenblowria/MLPR/data/S6lk1xauct/S6lk1xauct_R_025.png', '/Users/yuvenblowria/MLPR/data/S6lk1xauct/S6lk1xauct_R_026.png', '/Users/yuvenblowria/MLPR/data/S6lk1xauct/S6lk1xauct_R_027.png', '/Users/yuvenblowria/MLPR/data/S6lk1xauct/S6lk1xauct_R_028.png', '/Users/yuvenblowria/MLPR/data/S6lk1xauct/S6lk1xauct_R_029.png', '/Users/yuvenblowria/MLPR/data/S6lk1xauct/S6lk1xauct_R_030.png', '/Users/yuvenblowria/MLPR/data/S6lk1xauct/S6lk1xauct_R_031.png', '/Users/yuvenblowria/MLPR/data/S6lk1xauct/S6lk1xauct_R_032.png', '/Users/yuvenblowria/MLPR/data/S6lk1xauct/S6lk1xauct_R_033.png', '/Users/yuvenblowria/MLPR/data/S6lk1xauct/S6lk1xauct_R_034.png', '/Users/yuvenblowria/MLPR/data/S6lk1xauct/S6lk1xauct_R_035.png', '/Users/yuvenblowria/MLPR/data/S6lk1xauct/S6lk1xauct_R_036.png', '/Users/yuvenblowria/MLPR/data/S6lk1xauct/S6lk1xauct_R_037.png', '/Users/yuvenblowria/MLPR/data/S6lk1xauct/S6lk1xauct_R_038.png', '/Users/yuvenblowria/MLPR/data/S6lk1xauct/S6lk1xauct_R_039.png']",[],"[24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39]"
ID_289209_Svhhys,2.2,IBA154810,Early,Jrem9eo37e,5,[],"['/Users/yuvenblowria/MLPR/data/Jrem9eo37e/Jrem9eo37e_R_023.png', '/Users/yuvenblowria/MLPR/data/Jrem9eo37e/Jrem9eo37e_R_024.png', '/Users/yuvenblowria/MLPR/data/Jrem9eo37e/Jrem9eo37e_R_025.png', '/Users/yuvenblowria/MLPR/data/Jrem9eo37e/Jrem9eo37e_R_026.png', '/Users/yuvenblowria/MLPR/data/Jrem9eo37e/Jrem9eo37e_R_027.png', '/Users/yuvenblowria/MLPR/data/Jrem9eo37e/Jrem9eo37e_R_028.png', '/Users/yuvenblowria/MLPR/data/Jrem9eo37e/Jrem9eo37e_R_029.png', '/Users/yuvenblowria/MLPR/data/Jrem9eo37e/Jrem9eo37e_R_030.png', '/Users/yuvenblowria/MLPR/data/Jrem9eo37e/Jrem9eo37e_R_031.png', '/Users/yuvenblowria/MLPR/data/Jrem9eo37e/Jrem9eo37e_R_032.png', '/Users/yuvenblowria/MLPR/data/Jrem9eo37e/Jrem9eo37e_R_033.png', '/Users/yuvenblowria/MLPR/data/Jrem9eo37e/Jrem9eo37e_R_034.png', '/Users/yuvenblowria/MLPR/data/Jrem9eo37e/Jrem9eo37e_R_035.png', '/Users/yuvenblowria/MLPR/data/Jrem9eo37e/Jrem9eo37e_R_036.png', '/Users/yuvenblowria/MLPR/data/Jrem9eo37e/Jrem9eo37e_R_037.png', '/Users/yuvenblowria/MLPR/data/Jrem9eo37e/Jrem9eo37e_R_038.png', '/Users/yuvenblowria/MLPR/data/Jrem9eo37e/Jrem9eo37e_R_039.png', '/Users/yuvenblowria/MLPR/data/Jrem9eo37e/Jrem9eo37e_R_040.png', '/Users/yuvenblowria/MLPR/data/Jrem9eo37e/Jrem9eo37e_R_041.png']",[],"[23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41]"
ID_290289_L4hhmq,2.9,IITA-TMS-IBA000070,Early,L8w7zu7wek,5,"['/Users/yuvenblowria/MLPR/data/L8w7zu7wek/L8w7zu7wek_L_033.png', '/Users/yuvenblowria/MLPR/data/L8w7zu7wek/L8w7zu7wek_L_034.png', '/Users/yuvenblowria/MLPR/data/L8w7zu7wek/L8w7zu7wek_L_035.png', '/Users/yuvenblowria/MLPR/data/L8w7zu7wek/L8w7zu7wek_L_036.png', '/Users/yuvenblowria/MLPR/data/L8w7zu7wek/L8w7zu7wek_L_037.png', '/Users/yuvenblowria/MLPR/data/L8w7zu7wek/L8w7zu7wek_L_038.png', '/Users/yuvenblowria/MLPR/data/L8w7zu7wek/L8w7zu7wek_L_039.png', '/Users/yuvenblowria/MLPR/data/L8w7zu7wek/L8w7zu7wek_L_040.png', '/Users/yuvenblowria/MLPR/data/L8w7zu7wek/L8w7zu7wek_L_041.png', '/Users/yuvenblowria/MLPR/data/L8w7zu7wek/L8w7zu7wek_L_042.png', '/Users/yuvenblowria/MLPR/data/L8w7zu7wek/L8w7zu7wek_L_043.png', '/Users/yuvenblowria/MLPR/data/L8w7zu7wek/L8w7zu7wek_L_044.png', '/Users/yuvenblowria/MLPR/data/L8w7zu7wek/L8w7zu7wek_L_045.png', '/Users/yuvenblowria/MLPR/data/L8w7zu7wek/L8w7zu7wek_L_046.png', '/Users/yuvenblowria/MLPR/data/L8w7zu7wek/L8w7zu7wek_L_047.png', '/Users/yuvenblowria/MLPR/data/L8w7zu7wek/L8w7zu7wek_L_048.png', '/Users/yuvenblowria/MLPR/data/L8w7zu7wek/L8w7zu7wek_L_049.png', '/Users/yuvenblowria/MLPR/data/L8w7zu7wek/L8w7zu7wek_L_050.png', '/Users/yuvenblowria/MLPR/data/L8w7zu7wek/L8w7zu7wek_L_051.png']",[],"[33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51]",[]
ID_292232_Xpdtdg,3.1,IBA154810,Early,Up8aqujy0s,5,[],"['/Users/yuvenblowria/MLPR/data/Up8aqujy0s/Up8aqujy0s_R_025.png', '/Users/yuvenblowria/MLPR/data/Up8aqujy0s/Up8aqujy0s_R_026.png', '/Users/yuvenblowria/MLPR/data/Up8aqujy0s/Up8aqujy0s_R_027.png', '/Users/yuvenblowria/MLPR/data/Up8aqujy0s/Up8aqujy0s_R_028.png', '/Users/yuvenblowria/MLPR/data/Up8aqujy0s/Up8aqujy0s_R_029.png', '/Users/yuvenblowria/MLPR/data/Up8aqujy0s/Up8aqujy0s_R_030.png', '/Users/yuvenblowria/MLPR/data/Up8aqujy0s/Up8aqujy0s_R_031.png', '/Users/yuvenblowria/MLPR/data/Up8aqujy0s/Up8aqujy0s_R_032.png', '/Users/yuvenblowria/MLPR/data/Up8aqujy0s/Up8aqujy0s_R_033.png']",[],"[25, 26, 27, 28, 29, 30, 31, 32, 33]"
ID_294989_Jbkad9,0.3,TMEB419,Early,B5myqsh1wi,6,[],"['/Users/yuvenblowria/MLPR/data/B5myqsh1wi/B5myqsh1wi_R_026.png', '/Users/yuvenblowria/MLPR/data/B5myqsh1wi/B5myqsh1wi_R_027.png', '/Users/yuvenblowria/MLPR/data/B5myqsh1wi/B5myqsh1wi_R_028.png', '/Users/yuvenblowria/MLPR/data/B5myqsh1wi/B5myqsh1wi_R_029.png', '/Users/yuvenblowria/MLPR/data/B5myqsh1wi/B5myqsh1wi_R_030.png', '/Users/yuvenblowria/MLPR/data/B5myqsh1wi/B5myqsh1wi_R_031.png', '/Users/yuvenblowria/MLPR/data/B5myqsh1wi/B5myqsh1wi_R_032.png', '/Users/yuvenblowria/MLPR/data/B5myqsh1wi/B5myqsh1wi_R_033.png', '/Users/yuvenblowria/MLPR/data/B5myqsh1wi/B5myqsh1wi_R_034.png', '/Users/yuvenblowria/MLPR/data/B5myqsh1wi/B5myqsh1wi_R_035.png']",[],"[26, 27, 28, 29, 30, 31, 32, 33, 34, 35]"
ID_302485_Lrml8f,1.7,TMEB693,Early,Q91mym9ev4,5,"['/Users/yuvenblowria/MLPR/data/Q91mym9ev4/Q91mym9ev4_L_022.png', '/Users/yuvenblowria/MLPR/data/Q91mym9ev4/Q91mym9ev4_L_023.png', '/Users/yuvenblowria/MLPR/data/Q91mym9ev4/Q91mym9ev4_L_024.png', '/Users/yuvenblowria/MLPR/data/Q91mym9ev4/Q91mym9ev4_L_025.png', '/Users/yuvenblowria/MLPR/data/Q91mym9ev4/Q91mym9ev4_L_026.png', '/Users/yuvenblowria/MLPR/data/Q91mym9ev4/Q91mym9ev4_L_027.png', '/Users/yuvenblowria/MLPR/data/Q91mym9ev4/Q91mym9ev4_L_028.png', '/Users/yuvenblowria/MLPR/data/Q91mym9ev4/Q91mym9ev4_L_029.png', '/Users/yuvenblowria/MLPR/data/Q91mym9ev4/Q91mym9ev4_L_030.png', '/Users/yuvenblowria/MLPR/data/Q91mym9ev4/Q91mym9ev4_L_031.png', '/Users/yuvenblowria/MLPR/data/Q91mym9ev4/Q91mym9ev4_L_032.png', '/Users/yuvenblowria/MLPR/data/Q91mym9ev4/Q91mym9ev4_L_033.png']",[],"[22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]",[]
ID_307257_Kzg6ft,0.0,IBA980581,Early,Ph2ti2sjzu,2,"['/Users/yuvenblowria/MLPR/data/Ph2ti2sjzu/Ph2ti2sjzu_L_022.png', '/Users/yuvenblowria/MLPR/data/Ph2ti2sjzu/Ph2ti2sjzu_L_023.png', '/Users/yuvenblowria/MLPR/data/Ph2ti2sjzu/Ph2ti2sjzu_L_024.png', '/Users/yuvenblowria/MLPR/data/Ph2ti2sjzu/Ph2ti2sjzu_L_025.png', '/Users/yuvenblowria/MLPR/data/Ph2ti2sjzu/Ph2ti2sjzu_L_026.png', '/Users/yuvenblowria/MLPR/data/Ph2ti2sjzu/Ph2ti2sjzu_L_027.png', '/Users/yuvenblowria/MLPR/data/Ph2ti2sjzu/Ph2ti2sjzu_L_028.png', '/Users/yuvenblowria/MLPR/data/Ph2ti2sjzu/Ph2ti2sjzu_L_029.png', '/Users/yuvenblowria/MLPR/data/Ph2ti2sjzu/Ph2ti2sjzu_L_030.png', '/Users/yuvenblowria/MLPR/data/Ph2ti2sjzu/Ph2ti2sjzu_L_031.png', '/Users/yuvenblowria/MLPR/data/Ph2ti2sjzu/Ph2ti2sjzu_L_032.png', '/Users/yuvenblowria/MLPR/data/Ph2ti2sjzu/Ph2ti2sjzu_L_033.png', '/Users/yuvenblowria/MLPR/data/Ph2ti2sjzu/Ph2ti2sjzu_L_034.png', '/Users/yuvenblowria/MLPR/data/Ph2ti2sjzu/Ph2ti2sjzu_L_035.png']",[],"[22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35]",[]
ID_307722_Btzncs,3.1,IBA154810,Early,Dhfwcg1uj2,4,[],"['/Users/yuvenblowria/MLPR/data/Dhfwcg1uj2/Dhfwcg1uj2_R_020.png', '/Users/yuvenblowria/MLPR/data/Dhfwcg1uj2/Dhfwcg1uj2_R_021.png', '/Users/yuvenblowria/MLPR/data/Dhfwcg1uj2/Dhfwcg1uj2_R_022.png', '/Users/yuvenblowria/MLPR/data/Dhfwcg1uj2/Dhfwcg1uj2_R_023.png', '/Users/yuvenblowria/MLPR/data/Dhfwcg1uj2/Dhfwcg1uj2_R_024.png', '/Users/yuvenblowria/MLPR/data/Dhfwcg1uj2/Dhfwcg1uj2_R_025.png', '/Users/yuvenblowria/MLPR/data/Dhfwcg1uj2/Dhfwcg1uj2_R_026.png', '/Users/yuvenblowria/MLPR/data/Dhfwcg1uj2/Dhfwcg1uj2_R_027.png', '/Users/yuvenblowria/MLPR/data/Dhfwcg1uj2/Dhfwcg1uj2_R_028.png', '/Users/yuvenblowria/MLPR/data/Dhfwcg1uj2/Dhfwcg1uj2_R_029.png', '/Users/yuvenblowria/MLPR/data/Dhfwcg1uj2/Dhfwcg1uj2_R_030.png', '/Users/yuvenblowria/MLPR/data/Dhfwcg1uj2/Dhfwcg1uj2_R_031.png', '/Users/yuvenblowria/MLPR/data/Dhfwcg1uj2/Dhfwcg1uj2_R_032.png']",[],"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]"
ID_308291_Wsm6xe,2.1,IBA980581,Early,Ummqfuetoc,5,"['/Users/yuvenblowria/MLPR/data/Ummqfuetoc/Ummqfuetoc_L_025.png', '/Users/yuvenblowria/MLPR/data/Ummqfuetoc/Ummqfuetoc_L_026.png', '/Users/yuvenblowria/MLPR/data/Ummqfuetoc/Ummqfuetoc_L_027.png', '/Users/yuvenblowria/MLPR/data/Ummqfuetoc/Ummqfuetoc_L_028.png', '/Users/yuvenblowria/MLPR/data/Ummqfuetoc/Ummqfuetoc_L_029.png', '/Users/yuvenblowria/MLPR/data/Ummqfuetoc/Ummqfuetoc_L_030.png', '/Users/yuvenblowria/MLPR/data/Ummqfuetoc/Ummqfuetoc_L_031.png', '/Users/yuvenblowria/MLPR/data/Ummqfuetoc/Ummqfuetoc_L_032.png']",[],"[25, 26, 27, 28, 29, 30, 31, 32]",[]
